game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
86,20261087,7,1,6,4,0,0,-1,played,47,a693a593c0f48e13,3iar,1,1,1,0,1,0
87,20261088,1,7,2,4,0,0,-1,played,47,b6c51a7ca41bcbc8,3iar,0,0,0,0,0,0
88,20261089,1,7,2,4,0,0,-1,played,51,35f4fc2f89819050,3iar,0,0,0,0,0,0
89,20261090,1,1,0,4,0,1,-1,played,44,4e601682e06df919,3iar,0,0,0,0,0,0
90,20261091,7,1,6,4,0,0,-1,played,57,b7b80f3f082a12e2,3iar,0,0,0,0,0,0
91,20261092,7,7,8,4,0,0,-1,played,47,4a9f8cf9839b7a02,3iar,0,0,0,0,0,0
92,20261093,1,7,2,4,0,0,-1,played,41,61f9533a561aecc0,3iar,0,0,0,0,0,0
93,20261094,7,1,6,4,0,0,-1,played,41,342e79566fdd8185,3iar,0,0,0,0,0,0
94,20261095,1,1,0,4,0,0,-1,played,41,a39b06f11c42383b,3iar,0,0,0,0,0,0
95,20261096,7,1,6,4,0,1,-1,played,52,1f9f9b8d961df417,3iar,0,0,0,0,0,0
96,20261097,1,7,2,4,0,0,-1,played,43,61afc2aae71d4d60,3iar,0,0,0,0,0,0
97,20261098,7,1,6,4,0,0,-1,played,41,130efd978e08f84b,3iar,0,0,0,0,0,0
98,20261099,1,1,0,4,0,0,-1,played,59,654e4c5ddce6fd75,count,0,0,0,0,0,0
99,20261100,1,7,2,4,0,0,-1,played,35,084cbedc18005afb,3iar,0,0,0,0,0,0
