game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
47,20261048,2,5,1,8,0,0,-1,played,43,c5f2c1b75509dce0,3iar,0,0,0,0,0,0
48,20261049,8,3,7,6,0,0,-1,played,51,f37cb6fc00ace6c6,3iar,0,0,0,0,0,0
49,20261050,3,2,3,2,0,0,-1,played,41,549def8db75ec068,3iar,0,0,0,0,0,0
50,20261051,3,2,3,2,0,1,-1,played,55,a0995a5a82425463,count,2,1,1,1,0,1
51,20261052,5,8,5,8,0,0,-1,played,45,9cb6107391a99414,3iar,0,0,0,0,0,0
52,20261053,5,6,5,6,0,0,-1,played,43,67af038db1b2dd73,3iar,0,0,0,0,0,0
53,20261054,3,6,5,0,0,0,-1,played,45,1ff4801fc7e95adf,3iar,0,0,0,0,0,0
54,20261055,3,6,5,0,0,0,-1,played,45,f2acc80a47031192,3iar,0,0,0,0,0,0
55,20261056,6,3,7,0,0,0,-1,played,39,c428fa42bc51957a,3iar,0,0,0,0,0,0
56,20261057,5,0,3,6,0,0,-1,played,37,8da7a1cb853544dd,3iar,0,0,0,0,0,0
57,20261058,3,0,3,0,0,0,-1,played,39,504ca5843558fb77,3iar,0,0,0,0,0,0
58,20261059,3,2,3,2,0,0,-1,played,39,9ed84c7f08202006,3iar,0,0,0,0,0,0
59,20261060,5,0,3,6,0,1,-1,played,50,01558aad239b5e1b,3iar,0,1,0,0,0,1
60,20261061,5,8,5,8,0,1,-1,played,40,534a340e87a1a03a,3iar,0,0,0,0,0,0
61,20261062,3,6,5,0,0,0,-1,played,41,6283b9cc1905781a,3iar,0,0,0,0,0,0
62,20261063,5,2,3,8,0,0,-1,played,45,7aef6d02ae72a254,3iar,0,0,0,0,0,0
63,20261064,2,3,1,6,0,0,-1,played,49,f179c77e91f00b70,3iar,1,1,0,1,0,1
64,20261065,8,5,7,8,0,0,-1,played,39,8fb6cf611c200d51,3iar,0,0,0,0,0,0
