worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits
4,7,23261008,1,0,0,3,1,0,-1,played,52,1892077321a094ac,3iar,0,0,0,0,0,0,1,2790647,4174848,407418,0,0,0,0
4,8,23261009,4,4,4,4,0,0,-1,played,53,2f0f17ee04d86798,3iar,0,0,0,0,0,0,1,2071581,3345444,246805,0,0,0,0
4,9,23261010,1,0,0,3,1,0,-1,played,59,8ea580696d9df46c,count,0,0,0,0,0,0,1,2946082,4373111,566334,0,0,0,0
4,10,23261011,4,4,4,4,0,0,-1,played,49,ef48a7b29a09a832,3iar,0,0,0,0,0,0,1,2070677,3327720,287944,0,0,0,0
4,11,23261012,1,0,0,3,1,0,-1,played,34,8b01417cf2f2f1b7,3iar,0,0,0,0,0,0,1,2081163,2948052,96599,0,0,0,0
4,12,23261013,4,4,4,4,0,0,-1,played,51,55ca81fa2a0c23fc,3iar,0,0,0,0,0,0,1,1981268,3017423,292794,0,0,0,0
4,13,23261014,1,0,0,3,1,0,-1,played,40,d78f117f0038ea44,3iar,0,0,0,0,0,0,1,2464204,3632119,173947,0,0,0,0
4,14,23261015,4,4,4,4,0,0,-1,played,47,0818b60917f91706,3iar,0,0,0,0,0,0,1,1720314,2866027,220586,0,0,0,0
4,15,23261016,1,0,0,3,1,0,-1,played,38,7f19bcb2dcd4bde8,3iar,0,0,0,0,0,0,1,2340642,3534593,160862,0,0,0,0
4,16,23261017,4,4,4,4,0,0,-1,played,43,6f518e5a71f832a1,3iar,0,0,0,0,0,0,1,1484227,2530306,89707,0,0,0,0
4,17,23261018,1,0,0,3,1,0,-1,played,58,2c8ac28edf786ee9,3iar,0,0,0,0,0,0,1,2882574,4269699,317995,0,0,0,0
4,18,23261019,4,4,4,4,0,0,-1,played,47,5cc6ae748102d9b8,3iar,0,0,0,0,0,0,1,1717442,2826802,212228,0,0,0,0
4,19,23261020,1,0,0,3,1,0,-1,played,54,48947d4d518962c6,3iar,0,0,0,0,0,0,1,2790724,4056369,568706,0,0,0,0
4,20,23261021,4,4,4,4,0,1,-1,played,50,6c3ca15e84308349,3iar,0,0,0,0,0,0,1,1975750,3211960,338339,0,0,0,0
4,21,23261022,1,0,0,3,1,0,-1,played,44,6346e15bdc6a9d95,3iar,0,0,0,0,0,0,1,2545521,3806966,220841,0,0,0,0
4,22,23261023,4,4,4,4,0,0,-1,played,61,8835fa948f616468,3iar,0,0,0,0,0,0,1,2082109,3387814,226045,0,0,0,0
4,23,23261024,1,0,0,3,1,0,-1,played,50,0dbc20f395a9ef4f,3iar,0,0,0,0,0,0,1,2887370,4184226,284913,0,0,0,0
4,24,23261025,4,4,4,4,0,0,-1,played,55,08f3b4ca6249f93a,3iar,0,0,0,0,0,0,1,2077607,3595677,332668,0,0,0,0
